title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Need for Speed: V-Rally,PlayStation,8.0,1997,11,5,2386,Racing,Infogrames,0.43,0.29,0.09,0.06,0.87
Crash Bandicoot 2: Cortex Strikes Back,PlayStation,8.5,1997,11,4,96,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
Colony Wars,PlayStation,9.3,1997,11,4,4594,Simulation,Psygnosis,0.24,0.16,0.0,0.03,0.42
Frogger,PlayStation,2.0,1997,11,3,279,Action,Hasbro Interactive,3.79,0.27,0.0,0.11,4.16
Moto Racer,PlayStation,7.5,1997,11,3,2570,Racing,Electronic Arts,0.45,0.3,0.0,0.05,0.8
Shadow Master,PlayStation,4.0,1998,2,25,10771,Adventure,Psygnosis,0.05,0.04,0.0,0.01,0.1
Oddworld: Abe's Oddysee,PlayStation,7.5,1997,9,22,1606,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24
Poy Poy,PlayStation,8.0,1997,9,18,14789,Action,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.03
Bottom of the 9th '97,PlayStation,6.0,1997,9,18,15077,Sports,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.02
RayStorm,PlayStation,7.5,1997,9,11,12031,Shooter,Sony Computer Entertainment,0.04,0.03,0.0,0.0,0.07
Battle Arena Toshinden 3,PlayStation,6.3,1997,6,25,6412,Fighting,Sony Computer Entertainment,0.06,0.04,0.14,0.02,0.27
Armored Core,PlayStation,8.0,1997,10,22,4736,Simulation,Sony Computer Entertainment,0.13,0.09,0.16,0.03,0.41
Persona,PlayStation,7.5,1997,10,20,4375,Role-Playing,Atlus,0.0,0.0,0.42,0.03,0.45
Bushido Blade,PlayStation,8.7,1997,10,17,1749,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16
Diablo,PlayStation,7.5,1998,3,27,3446,Role-Playing,Electronic Arts,0.29,0.19,0.07,0.04,0.58
Dead or Alive,PlayStation,8.5,1998,3,27,6190,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28
Speed Racer,PlayStation,5.0,1998,3,27,12242,Racing,Tomy Corporation,0.04,0.02,0.0,0.0,0.07
Rascal,PlayStation,2.0,1998,3,25,4586,Action,Psygnosis,0.24,0.16,0.0,0.03,0.42
Test Drive 4,PlayStation,7.0,1997,11,3,1665,Racing,Electronic Arts,0.67,0.46,0.0,0.08,1.21
Fighting Force,PlayStation,5.5,1997,11,3,1494,Fighting,Eidos Interactive,0.73,0.5,0.0,0.09,1.32
Reel Fishing,PlayStation,6.0,1997,10,30,1591,Sports,Natsume,0.99,0.13,0.1,0.04,1.25
